stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,location_monitoring_station,Air Quality Index,Green Zones
675,31-07-2015,Karnataka,Ranebennur,Karnataka State Pollution Control Board,Industrial Area,4,9,47,"HPF Ltd., Water intake well, Ranebennur",6,1
675,30-10-2015,Karnataka,Ranebennur,Karnataka State Pollution Control Board,Industrial Area,2,5,10,"HPF Ltd., Water intake well, Ranebennur",3,1
675,30-11-2015,Karnataka,Ranebennur,Karnataka State Pollution Control Board,Industrial Area,2,5,67,"HPF Ltd., Water intake well, Ranebennur",3,1
676,30-10-2015,Karnataka,Mandya,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",10,21,33,"KSPCB Office Premises, Mandya",14,1
677,31-01-2015,Karnataka,Raichur,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",7,10,90,"KSPCB Office Premises, Raichur",10,1
677,31-03-2015,Karnataka,Raichur,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",7,11,92,"KSPCB Office Premises, Raichur",10,1
677,30-04-2015,Karnataka,Raichur,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",4,14,70,"KSPCB Office Premises, Raichur",6,1
679,30-04-2015,Karnataka,Chitradurga,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",3,5,58,"KSPCB Office Premises, Chitradurga",4,1
679,31-08-2015,Karnataka,Chitradurga,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",2,5,23,"KSPCB Office Premises, Chitradurga",3,1
679,30-10-2015,Karnataka,Chitradurga,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",3,6,50,"KSPCB Office Premises, Chitradurga",4,1
679,30-11-2015,Karnataka,Chitradurga,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",2,5,21,"KSPCB Office Premises, Chitradurga",3,1
680,30-04-2015,Karnataka,Shimoga,Karnataka State Pollution Control Board,Industrial Area,4,6,48,"The VISL, Oxygen Plant, Shimoga",6,1
680,31-08-2015,Karnataka,Shimoga,Karnataka State Pollution Control Board,Industrial Area,2,5,12,"The VISL, Oxygen Plant, Shimoga",3,1
680,30-11-2015,Karnataka,Shimoga,Karnataka State Pollution Control Board,Industrial Area,2,5,59,"The VISL, Oxygen Plant, Shimoga",3,1
684,28-02-2015,Karnataka,Bidar,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6,14,57,"KSPCB Office Premises, Bidar",9,1
685,28-02-2015,Karnataka,Tumkur,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6,40,199,"Tumkur University, Tumkur",9,1
685,31-03-2015,Karnataka,Tumkur,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6,31,184,"Tumkur University, Tumkur",9,1
685,30-06-2015,Karnataka,Tumkur,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",6,15,144,"Tumkur University, Tumkur",9,1
685,30-09-2015,Karnataka,Tumkur,Karnataka State Pollution Control Board,"Residential, Rural and other Areas",5,10,147,"Tumkur University, Tumkur",7,1
29,30-04-2015,Kerala,Kochi,Kerala State Pollution Control Board,Industrial Area,2,22,65,"Eloor, Kochi",3,1
29,30-10-2015,Kerala,Kochi,Kerala State Pollution Control Board,Industrial Area,2,17,36,"Eloor, Kochi",3,1
147,31-08-2015,Kerala,Kochi,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",9,2,62,"MG Road Bank Ernakulum, Kochi",13,1
147,30-11-2015,Kerala,Kochi,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,6,45,"MG Road Bank Ernakulum, Kochi",3,1
149,30-04-2015,Kerala,Kochi,National Environmental Engineering Research Institute,Industrial Area,2,13,32,"FACT Udyogmandal, Ambalamughal, Kochi",3,1
149,30-10-2015,Kerala,Kochi,National Environmental Engineering Research Institute,Industrial Area,2,17,24,"FACT Udyogmandal, Ambalamughal, Kochi",3,1
181,31-01-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,"Residential, Rural and other Areas",8,25,54,"SMV School, Thiruvananthapuram",11,1
181,28-02-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,"Residential, Rural and other Areas",8,25,56,"SMV School, Thiruvananthapuram",11,1
181,30-10-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,"Residential, Rural and other Areas",7,26,53,"SMV School, Thiruvananthapuram",10,1
187,31-07-2015,Kerala,Kottayam,Kerala State Pollution Control Board,"Residential, Rural and other Areas",5,22,51,Kottayam,7,1
311,28-02-2015,Kerala,Palakkad,Kerala State Pollution Control Board,Industrial Area,2,7,56,"M/S Carborandum Universal Ltd. P.B. NO. 1, KanjIkode West P.O. Palakad",3,1
311,31-03-2015,Kerala,Palakkad,Kerala State Pollution Control Board,Industrial Area,2,6,72,"M/S Carborandum Universal Ltd. P.B. NO. 1, KanjIkode West P.O. Palakad",3,1
311,30-04-2015,Kerala,Palakkad,Kerala State Pollution Control Board,Industrial Area,2,7,55,"M/S Carborandum Universal Ltd. P.B. NO. 1, KanjIkode West P.O. Palakad",3,1
311,30-09-2015,Kerala,Palakkad,Kerala State Pollution Control Board,Industrial Area,2,8,40,"M/S Carborandum Universal Ltd. P.B. NO. 1, KanjIkode West P.O. Palakad",3,1
311,30-11-2015,Kerala,Palakkad,Kerala State Pollution Control Board,Industrial Area,2,9,58,"M/S Carborandum Universal Ltd. P.B. NO. 1, KanjIkode West P.O. Palakad",3,1
311,31-12-2015,Kerala,Palakkad,Kerala State Pollution Control Board,Industrial Area,2,8,61,"M/S Carborandum Universal Ltd. P.B. NO. 1, KanjIkode West P.O. Palakad",3,1
338,31-08-2015,Kerala,Kochi,Kerala State Pollution Control Board,"Residential, Rural and other Areas",6,2,32,"Ernakulum South, Kochi",9,1
346,31-08-2015,Kerala,Kochi,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",8,3,36,"CSIR Complex, Kochi",11,1
346,30-10-2015,Kerala,Kochi,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2,9,40,"CSIR Complex, Kochi",3,1
357,31-01-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,Industrial Area,16,23,57,"HiTech Chackai, Thiruvananthapuram",23,1
357,31-03-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,Industrial Area,17,25,58,"HiTech Chackai, Thiruvananthapuram",24,1
357,30-04-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,Industrial Area,17,25,58,"HiTech Chackai, Thiruvananthapuram",24,1
357,30-06-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,Industrial Area,16,22,52,"HiTech Chackai, Thiruvananthapuram",23,1
357,31-07-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,Industrial Area,18,25,56,"HiTech Chackai, Thiruvananthapuram",26,1
357,30-09-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,Industrial Area,18,26,58,"HiTech Chackai, Thiruvananthapuram",26,1
357,31-12-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,Industrial Area,18,27,59,"HiTech Chackai, Thiruvananthapuram",26,1
358,31-03-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,"Residential, Rural and other Areas",8,25,57,"Sasthamangalam, Thiruvananthapuram",11,1
358,30-04-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,"Residential, Rural and other Areas",8,25,57,"Sasthamangalam, Thiruvananthapuram",11,1
358,30-06-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,"Residential, Rural and other Areas",7,23,50,"Sasthamangalam, Thiruvananthapuram",10,1
358,30-09-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,"Residential, Rural and other Areas",8,27,54,"Sasthamangalam, Thiruvananthapuram",11,1
358,31-12-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,"Residential, Rural and other Areas",8,26,57,"Sasthamangalam, Thiruvananthapuram",11,1
359,30-10-2015,Kerala,Kozhikode,Kerala State Pollution Control Board,Industrial Area,2,15,37,"Nallalam, Kozhikode",3,1
360,30-10-2015,Kerala,Kozhikode,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,14,53,"Kozhikode City, Kozhikode",3,1
361,30-10-2015,Kerala,Kottayam,Kerala State Pollution Control Board,Industrial Area,5,19,43,Vadavathoor,7,1
419,28-02-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,Sensitive Area,8,25,60,"PRS Hospital, Thiruvanathapuram",11,1
419,30-10-2015,Kerala,Thiruvananthapuram,Kerala State Pollution Control Board,Sensitive Area,8,26,52,"PRS Hospital, Thiruvanathapuram",11,1
562,31-08-2015,Kerala,Kochi,Kerala State Pollution Control Board,"Residential, Rural and other Areas",9,2,28,"FCI, OEN Connectors Office Building",13,1
562,30-09-2015,Kerala,Kochi,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,18,30,"FCI, OEN Connectors Office Building",3,1
562,30-10-2015,Kerala,Kochi,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,18,43,"FCI, OEN Connectors Office Building",3,1
617,28-02-2015,Kerala,Alappuzha,Kerala State Pollution Control Board,Industrial Area,2,5,64,"DC Mills Pathirapally, Alappuzha",3,1
617,31-08-2015,Kerala,Alappuzha,Kerala State Pollution Control Board,Industrial Area,2,5,47,"DC Mills Pathirapally, Alappuzha",3,1
617,30-09-2015,Kerala,Alappuzha,Kerala State Pollution Control Board,Industrial Area,2,5,34,"DC Mills Pathirapally, Alappuzha",3,1
618,28-02-2015,Kerala,Alappuzha,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,5,57,"District Office, Alissery Road, Alappuzha",3,1
618,30-04-2015,Kerala,Alappuzha,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,5,47,"District Office, Alissery Road, Alappuzha",3,1
618,30-10-2015,Kerala,Alappuzha,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,5,51,"District Office, Alissery Road, Alappuzha",3,1
618,30-11-2015,Kerala,Alappuzha,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,5,32,"District Office, Alissery Road, Alappuzha",3,1
618,31-12-2015,Kerala,Alappuzha,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,5,37,"District Office, Alissery Road, Alappuzha",3,1
619,28-02-2015,Kerala,Pathanamthitta,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,12,22,"Near District Office KSPCB, Makkamkunnu, Pathanamthitta",3,1
619,30-10-2015,Kerala,Pathanamthitta,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,15,26,"Near District Office KSPCB, Makkamkunnu, Pathanamthitta",3,1
619,30-11-2015,Kerala,Pathanamthitta,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,15,26,"Near District Office KSPCB, Makkamkunnu, Pathanamthitta",3,1
619,31-12-2015,Kerala,Pathanamthitta,Kerala State Pollution Control Board,"Residential, Rural and other Areas",2,15,26,"Near District Office KSPCB, Makkamkunnu, Pathanamthitta",3,1
620,30-06-2015,Kerala,Kollam,Kerala State Pollution Control Board,Industrial Area,7,10,49,"KMML Chavara, Kollam",10,1
620,31-08-2015,Kerala,Kollam,Kerala State Pollution Control Board,Industrial Area,5,9,49,"KMML Chavara, Kollam",7,1
620,31-12-2015,Kerala,Kollam,Kerala State Pollution Control Board,Industrial Area,4,7,45,"KMML Chavara, Kollam",6,1
621,30-06-2015,Kerala,Kollam,Kerala State Pollution Control Board,"Residential, Rural and other Areas",5,12,39,"KSPCB, District Office, Kadappakada, Kollam",7,1
621,31-08-2015,Kerala,Kollam,Kerala State Pollution Control Board,"Residential, Rural and other Areas",5,9,49,"KSPCB, District Office, Kadappakada, Kollam",7,1
